Question,Answer1,Answer2,Answer3,Answer4,Correct Answer
下列何者非屬公開資訊觀測站可查詢資訊？(提示：可利用證交所公開資訊觀測站網頁查詢),可信用交易標的,除權息,董監酬金,董監持股,1
下列何者非屬公開資訊觀測站提供資訊？(提示：可利用證交所公開資訊觀測站網頁查詢),投資專區,交易資訊,營運概況,資產證券化,2
下列何者非屬申請創新板的上市資格條件之一？,主辦證券承銷商上市輔導屆滿6個月,登錄為興櫃股票屆滿6個月,申請上市時已依公司法設立登記屆滿2年以上,申請上市時之實收資本額達新臺幣三億元,4
下列何者非屬證交法第155條操縱之行為?,意圖造成集中交易市場某種有價證券交易活絡之表象，自行或以他人名義，連續委託買賣或申報買賣而相對成交,在集中交易市場委託買賣或申報買賣，業經成交而不履行交割，足以影響市場秩序,意圖影響集中交易市場有價證券交易價格，而散布流言或不實資料,實際知悉發行股票公司有重大影響其股票價格之消息時，在該消息明確後買賣股票,4
下列何者非屬證券商就投資人線上開戶程序確認身分之方式?,經線上傳送自然人憑證、銀行帳戶或晶片金融卡等+OTP(一次性安全密碼),經電子郵件方式+手機簡訊確認,經視訊影像方式+專人電訪確認,經往來交割銀行+OTP(一次性安全密碼)確認,2
下列何者係在分析企業資產使用之效率？,權益／平均資產總額,流動資產／平均資產總額,不動產、廠房及設備／平均資產總額,銷貨收入淨額／平均資產總額,4
下列何者係影響財務報告品質的因素？　甲、管理階層對於會計方法之選擇　乙、會計的各種規範　丙、審計人員的教育程度　丁、會計估計發生之誤差,甲和乙,甲和丙,丙和丁,甲、乙、丁,4
下列何者係屬取得之股票非證券交易法第一百五十七條第1項所定「取得」之範圍，故不列入歸入利益之情形？,受讓公司之庫藏股或行使可轉換公司債之轉換權而取得之公司股票,發行股票公司董事對公司之上巿股票，於取得後六個月內再行賣出，因而獲得利益者,發行股票公司監察人對公司之上巿股票，於賣出後六個月內再行買進，因而獲得利益者,持有公司股份超過百分之十之股東，對公司之上巿股票，於取得後六個月內再行賣出，因而獲得利益者,1
下列何者指標不具獲利能力分析價值？,毛利率,純益率,營業費用對銷貨淨利之比率,存貨週轉率,4
下列何者是行情多頭之訊號?,W底,M頭,寶塔線翻紅,價穩量縮,1
下列何者是使用存貨週轉率分析時應注意事項？,存貨之季節性變動,存貨評價之方法,存貨之存在性,其他3個選項皆是,4
下列何者是財務報表分析者應有的學養？,瞭解各個產業,熟悉各項財務會計處理流程,熟知各項分析工具,其他3個選項皆是,4
下列何者是測驗一企業短期償債能力之最佳比率？,速動比率,普通股每股盈餘,本益比,純益比,1
下列何者是對的？,流通在外股數＋庫藏股股數＝發行股數,流通在外股數＋庫藏股股數＝額定股數,流通在外股數＋特別股股數＝額定股數,流通在外股數＋特別股股數＝發行股數,1
下列何者是衡量企業短期償債能力的動態指標？　A.流動比率；B.速動比率；C.現金流量比率,A.,A.和B.,A.、B.和C.,只有C.,4
下列何者是衡量企業短期償債能力的動態指標？　甲.流動比率；乙.速動比率；丙.現金流量比率,僅甲,甲和乙,甲、乙和丙,僅丙,4
下列何者是衡量企業短期償債能力的動態指標？　甲.流動比率；乙.速動比率；丙.現金流量比率,僅甲,僅丙,甲和乙,甲、乙和丙,2
下列何者是證券商得出借有價證券之對象,訂立委託買賣契約未逾一個月以上者,辦理有價證券借貸業務或有價證券融資融券業務之證券商或證券金融事業,未經主管機關核准者,其他3個選項皆非,2
下列何者是證券商得出借有價證券之對象？,其他3個選項皆非,未經主管機關核准者,訂立委託買賣契約未逾一個月以上者,辦理有價證券借貸業務或有價證券融資融券業務之證券商或證券金融事業,4
下列何者是證券商得出借有價證券之對象？,訂立委託買賣契約未逾一個月以上者,辦理有價證券借貸業務或有價證券融資融券業務之證券商或證券金融事業,未經主管機關核准者,其他3個選項皆非,2
下列何者為「貨幣市場」的工具?,公司債,政府債券,可轉讓定期存單,存託憑證,3
下列何者為「貨幣市場」的工具?,公司債,政府債券,可轉讓定期存單,存託憑證,3
下列何者為3008大立光107年度財務報告書簽證會計師？(提示：可利用證交所公開資訊觀測站網頁查詢),陳君滿,江淑芬,游泳添,張西銘,1
下列何者為上市觀光事業類股？(提示：可利用證交所公開資訊觀測站網頁查詢),五福旅遊,雲品,山富旅遊,晶悅,2
下列何者為內部財務報表使用者？,短期債權人,稽徵機關,審計人員,企業管理階層,4
下列何者為公司使用財務槓桿有利時須滿足之條件？,舉債利率大於ROA,舉債利率大於ROE,舉債利率小於ROA,舉債利率小於ROE,3
下列何者為公司制證券交易所章程之應記載事項？,在交易所集中交易之經紀商或自營商之名額及資格,董監事人數及選任標準,無記名股票發行方式,每一證券商持有證券交易所股份之比率,1
下列何者為公司治理評鑑之評鑑資訊範圍?,於公開資訊觀測站、年報與公司網站所揭露之公司治理相關事項,會計師事務所與內部稽核主管填答之問卷,金管會、證交所或櫃買中心之相關監理紀錄,其他3個選項皆是,4
下列何者為支付領域的金融創新項目？,無現金世界,群眾募資,機器革命,新興市場平台,1
下列何者為因有價證券交易而產生的爭議，適用有關仲裁之規定？,證券商間因交割結算基金分配之計算而生之爭議,證券商及其客戶因違約交割所生之爭議,證券商與其客戶因手續費計算所生之爭議,其他3個選項皆是,4
下列何者為有價證券評等選用之指標？,資本結構,每股盈餘,股價穩定性,其他3個選項皆是,4
下列何者為依「證券交易法」規定，得處3年以上10年以下有期徒刑之最重罰則之行為？,人為炒作股票,未依法交付公開說明書,短線交易,發行人之經理人逾越授權範圍，以公司資產為他人保證，致公司受損,1
下列何者為依「證券交易法」規定，得處三年以上十年以下有期徒刑之最重罰則之行為：,人為炒作股票,未依法交付公開說明書,短線交易,發行人之經理人逾越授權範圍，以公司資產為他人保證，致公司受損,1
下列何者為股份有限公司章程絕對必要記載事項？,特別股種類及其權利義務,解散之事由,董事及監察人之人數及任期,董事長學經歷,3
下列何者為金管會推動金融科技的目標？,韌性,永續,普惠,其他3個選項皆是,4
下列何者為金融科技相關的風險與監理之面向？,個人資料保護法,防制洗錢,網路安全,其他3個選項皆是,4
下列何者為約當現金：,郵票,存入保證金,存出保證金,三個月期定期存款,4
下列何者為效率市場的定義？,政府不以人為的手段干預市場，讓市場自由發展,市場無交易成本、稅負以及其他障礙,市場能夠迅速正確反應所有攸關資訊，所有投資者將無法利用任何資訊賺取超額的報酬,市場交易的作業流程完全電腦化,3
下列何者為動態分析？,共同比財務報表,比率分析,結構分析,比較分析,4
下列何者為動態分析？,同一報表科目與類別的比較,不同期間報表科目互相比較,同一科目數字上的結構比較,比率分析,2
下列何者為動態分析？,同一報表科目與類別的比較,不同期間報表科目互相比較,相同科目數字上的結構比較,比率分析,2
下列何者為得於集中市場外交易之上市有價證券？,政府債券,公司股票,公司債券,受益憑證,1
下列何者為現行制度可接受之委託下單方式?,網路電子下單,facebook下單,Line下單,撥打營業員的手機電話下單,1
下列何者為累積特別股的特性？,允許特別股股東獲得比普通股股東更高的股利,允許發行公司從股東手中以事先指定的價格買回股票,在普通股發放股利以前，可先獲發放以前未分配的股利,具有浮動的股利,3
下列何者為累積特別股的特性?,允許特別股股東獲得比普通股股東更高的股利,允許發行公司從股東手中以事先指定的價格買回股票,在普通股發放股利以前，可先獲發放以前未分配的股利,具有浮動的股利,3
下列何者為累積特別股的特性？,允許特別股股東獲得比普通股股東更高的股利,允許發行公司從股東手中以事先指定的價格買回股票,在普通股發放股利以前，可先獲發放以前未分配的股利,具有浮動的股利,3
下列何者為累積特別股的特性?,允許特別股股東獲得比普通股股東更高的股利,允許發行公司從股東手中以事先指定的價格買回股票,在普通股發放股利以前，可先獲發放以前未分配的股利,具有浮動的股利,3
下列何者為被動式操作管理之基金?,指數型基金,指數股票型基金(ETF),ETF連結基金,其他3個選項皆是,4
下列何者為創業投資公司申請股票上市所應具備之上市條件？,章程載明公司永續經營之意旨,未從事創業投資事業輔導辦法規定以外之任何業務,申請上市時投資任一被投資公司之投資總額未逾申請公司最近期財務報告資產總額之百分之二十,其他3個選項皆是,4
下列何者為窗飾之作法？,低列備抵損失,將去年底已進貨的交易今年才入帳,去年出貨給關係人，今年則有大筆的銷貨退回,其他3個選項皆是,4
下列何者為虛帳戶？,資產,負債,權益,費用,4
下列何者為資本支出？,支付地價稅,汽車修理支出,每年油漆牆壁費,購入土地支付代書費,4
下列何者為資訊安全的要素(特性)？,機密性,完整性,可用性,其他3個選項皆是,4
下列何者為鉅額逐筆交易之交易時段？,8:00~8:30,8:30~9:00,9:00~17:00,17:00~17:30,3
下列何者為鉅額逐筆交易之交易時段？,上午八時至上午八時三十分,上午八時三十分至上午九時,上午九時至下午五時,下午五時至下午五時三十分,3
下列何者為對公開發行公司無義務申報持股變動之人？,董事,監察人,檢查人,經理人,3
下列何者為對股東權益或股票價格有重大影響之事項？,因訴訟對公司財務或業務產生重大影響,存款不足遭退票,取得專利權,其他3個選項皆是,4
下列何者為對國際財務報導準則的正確描述？,傾向「原則基礎」與「資產負債表法」,傾向「規則基礎」與「損益表法」,傾向「原則基礎」與「損益表法」,傾向「規則基礎」與「資產負債表法」,1
下列何者為綜合證券商業務經營範圍？,承銷、自營、經紀業務,證券金融與借貸業務,證券投資信託與資產管理,證券投資顧問業務,1
下列何者為綜合證券商業務經營範圍？,承銷、自營、經紀業務,證券金融與借貸業務,證券投資信託與資產管理,證券投資顧問業務,1
下列何者為臺灣證券交易所自行編製之股價指數？(提示：可利用證交所網頁查詢),台灣50指數,臺灣高薪100指數,臺灣公司治理100指數,臺灣發達指數,3
下列何者為靜態報表？,資產負債表,綜合損益表,權益變動表,現金流量表,1
下列何者為證券交易所之業務？,辦理融資融券,集中保管有價證券,經營有價證券集中交易市場,提供投資人投資意見,3
下列何者為證券交易法之立法目的：,發展國民經濟並保障投資,促進金融市場發展,提倡全民集資,監督管理金融市場,1
下列何者為證券交易法之立法目的?,發展國民經濟並保障投資,促進金融市場發展,提倡全民集資,監督管理金融市場,1
下列何者為證券商同業公會章程應記載事項？,關於政府經濟政策與證券交易法之協助推行與研究建議,督促會員自律,會員違反本法或其他有關法令之處置,其他3個選項皆正確,4
下列何者為證券商財務報表中之損益表應記載事項？,營業保證金,手續費收入,違約損失準備,交割結算基金金額,2
下列何者為證券集中保管事業所保管之得為帳簿劃撥之有價證券？,在證券集中交易市場上市之有價證券,在證券商營業處所買賣之有價證券,其他經主管機關核定之有價證券,其他3個選項均正確,4
下列何者為證券集中保管事業所保管之得為帳簿劃撥之有價證券？,在證券集中交易市場上市之有價證券,在證券商營業處所買賣之有價證券,其他經主管機關核定之有價證券,其他3個選項皆正確,4
下列何者為證券集中保管事業業務範圍之一？,發行受益憑證募集證券投資信託基金,有價證券買賣交割或設質交付之帳簿劃撥,接受委任，對證券投資有關事項提供研究分析意見或建議,供給使用有價證券集中交易市場,2
下列何者風險不屬於系統風險？,立法通過「溫室氣體減量及管理法」,石油危機,事業風險,日本採貨幣寬鬆政策，使日元走貶,3
下列何者風險不屬於系統風險？,立法通過「溫室氣體減量及管理法」,美中貿易戰,事業風險,日本採貨幣寬鬆政策，使日元走貶,3
下列何者將使未提撥保留盈餘增加？,本期淨損,前期淨利低估,宣告現金股利,宣告股票股利,2
下列何者將使未提撥保留盈餘增加？,本期淨損,發現前期淨利低估,宣告現金股利,宣告股票股利,2
下列何者得於股東會以臨時動議提出？,選任董事、監察人、變更章程或公司解散或合併之事項,公積轉增資發行新股,董事競業禁止之許可,提案要求公司對董事之不法行為起訴,4
下列何者得為公司之重整人？　甲、董事；乙、會計師；丙、公司債權人；丁、公司股東,甲、乙、丙,甲、乙、丁,甲、丙、丁,乙、丙、丁,3
下列何者敘述不符合興櫃一般板股票交易制度？,一般板股票交易雙方至少必有一方為該股票之推薦證券商,投資人之間無法相互成交一般板股票,一般板股票交易價格沒有漲跌幅的限制,一般板股票與上櫃股票採相同的交易機制成交,4
下列何者符合股份有限公司董事會之普通決議之規定？,過半數董事之出席，出席董事過半數之同意行之,過半數董事之出席，出席董事三分之二以上之同意行之,三分之二以上董事之出席，出席董事二分之一以上之同意行之,三分之二以上董事之出席，出席董事三分之二以上之同意行之,1
下列何者通常不是企業決定備抵損失金額時考慮的因素？,對未來信用風險變動的預期,目前整體經濟狀況,平均每筆交易的金額,欠款期間的長短,3
下列何者通常不是企業決定提列壞帳費用百分比時考慮的因素？,過去年度的經驗,目前整體經濟狀況,平均每筆交易的金額,欠款期間的長短,3
下列何者通常不會影響企業的現金流量？（不考慮所得稅影響）,銷貨折讓,員工薪資,利息費用,折舊費用,4
下列何者通常並非財務報告分析人員常用的工具？,趨勢分析,隨機抽樣分析,共同比分析,比較分析,2
下列何者最「不可能」是兩檔股票報酬率之間的相關係數(coefficientofcorrelation)？,0.84,1.27,0,-0.46,2
下列何者最不可能是兩檔股票報酬率之間的相關係數(coefficientofcorrelation)？,0.84,1.27,0,-0.46,2
下列何者最有可能構成「內線交易之重大消息」？,公司捐款給弱勢團體,公司申請股票終止上市,公司加發年終獎金,公司變更股務代理機構,2
下列何者最有可能構成「內線交易之重大消息」？,變更清潔公司之消息,公司更改營業處所之消息,與公司財務業務有關之消息,董事長中樂透彩,3
下列何者無法使總資產報酬率提高？,提高淨利率,增加銷貨,提高總資產週轉率,降低負債比率,4
下列何者無須經審計委員會同意？,重大之資金貸與,私募可轉換公司債,財務、會計或內部稽核主管之任免,總經理之任免,4
下列何者須於送件7個營業日前委託股務代理機構，透過網際網路資訊申報系統向集保公司申請專業股務代理機構證明文件？,上市公司,上櫃公司,興櫃公司,其他3個選項皆是,4
下列何者須於送件7個營業日前委託股務代理機構，透過網際網路資訊申報系統向集保公司申請專業股務代理機構證明文件?,上市公司,上櫃公司,興櫃公司,其他3個選項皆是,4
下列何者須於送件7個營業日前委託股務代理機構，透過網際網路資訊申報系統向集保公司申請專業股務代理機構證明文件？,上市公司,上櫃公司,興櫃公司,其他3個選項皆是,4
下列何者會使保留盈餘增加？,公司重整沖銷資產,股利分配,前期收益調整,其他3個選項皆非,3
下列何者會使保留盈餘增加？,本期純損,以資本公積彌補虧損,股利分配,庫藏股交易,2
下列何者會影響盈餘的品質？　A.會計政策；B.物價水準波動；C.損益之組成；D.公司治理,僅A、B,僅A,僅A、C、D,A、B、C、D皆會,4
下列何者會影響盈餘的品質？　甲、會計政策；乙、物價水準波動；丙、損益之組成；丁、公司治理,僅甲、乙,僅甲,僅甲、丙、丁,甲、乙、丙、丁皆會,4
下列何者會影響盈餘品質？,管理者操縱報表,景氣循環,經濟因素,其他3個選項皆會影響,4
下列何者較不受中央銀行公開市場操作的影響？,利率,匯率,貨幣供給,貨幣流通速度,4
下列何者較不受中央銀行公開市場操作的影響？,利率,匯率,貨幣供給,貨幣流通速度,4
下列何者較不適合作為分析經營效率的指標？,不動產、廠房及設備週轉率,平均收現期間,應收帳款週轉率,銷貨毛利率,4
下列何者較不適合作為分析經營效率的指標？,平均收現期間,應收帳款週轉率,銷貨毛利率,不動產、廠房及設備週轉率,3
下列何者對公司較可能是不利的情況？,應收帳款週轉率高,存貨週轉率高,負債對資產比率高,資產週轉率高,3
下列何者對速動比率無任何影響？,宣告現金股利,支付前所宣告的現金股利,沖銷壞帳,以成本價賒銷出售存貨,3
下列何者對速動比率無任何影響？,宣告現金股利,支付前所宣告的現金股利,應收帳款收現,以成本價賒銷出售存貨,3
下列何者對普通股東最為有利？,舉債成本大於總資產報酬率且權益比率高,舉債成本大於總資產報酬率且負債比率高,總資產報酬率大於舉債成本且負債比率高,總資產報酬率大於舉債成本且權益比率高,3
下列何者屬「公開收購公開發行公司有價證券管理辦法」所稱公開收購之有價證券？,未公開發行之公司股票,未公開發行之新股權利證書,附認股權公司債,已依證券交易法發行之公開發行公司之股票,4
下列何者屬於「流動負債」？,應付公司債,估計應付贈品,存出保證金,應付帳款借餘,2
下列何者屬於「證券交易法」第一百五十七條之一所稱有重大影響其股票價格之消息？,公司辦理買回本公司股份者,公司與主要供應商停止部分或全部業務往來者,公司所從屬之控制公司股權有重大異動者,其他3個選項皆是,4
下列何者屬於不能明確辨認，無法單獨讓售之無形資產？,專利權,商標權,特許權,商譽,4
下列何者屬於技術分析？,價量分析,市場分析,產業分析,公司分析,1
下列何者屬於非系統風險？,違約風險,利率風險,政治風險,戰爭風險,1
下列何者屬於國庫券的特性？,到期憑票兌領本息,流動性低,到期日長,以面額承購,1
下列何者屬於現金流量表中的籌資活動？,購買設備,現金增資,購買債券投資,處分設備,2
下列何者屬於現金流量表中的籌資活動部分？,購買設備,現金增資,購買債券投資,處分設備所得款項,2
下列何者屬於無形資產？,遞延所得稅資產-流動,商標權,研究支出,預付費用,2
下列何者屬於無形資產？,遞延所得稅資產-流動,預付費用,商標權,研究支出,3
下列何者屬於資本市場之工具？甲.可轉換公司債；乙.銀行承兌匯票；丙.可轉讓銀行定期存單；丁.特別股,僅甲、乙,僅丙、丁,僅甲、丙,僅甲、丁,4
下列何者屬於認售權證的代號?,03001X,03001P,03001F,03001C,2
下列何者屬於應買進的型態？,頭肩頂,雙重頂,菱形,W底,4
下列何處無法查詢公司治理評鑑結果?,公司治理中心網站,社群網站,證基會網站,公開資訊觀測站,2
下列何單位非屬證券相關單位？(提示：可利用證交所網頁查詢),台灣網路認證股份有限公司,證券投資人及期貨交易人保護中心,中華民國證券暨期貨發展基金會,財團法人金融聯合徵信中心,4
下列何項「非」戰略新板之「六大核心戰略產業」？,資訊及數位相關產業,生物醫療科技產業,綠電及再生能源產業,光電及半導體產業,4
下列何項「非」戰略新板之「六大核心戰略產業」？,綠電及再生能源產業,資訊及數位相關產業,生物醫療科技產業,光電及半導體產業,4
下列何項「非」興櫃股票市場的主要功能？,輔導發行公司熟悉證券市場相關法規及其運作,提供投資大眾認識發行公司之管道,提升發行公司經營績效,提供上市櫃前股票之流動性及價格發現之機能,3
下列何項不可能會出現在企業的綜合損益表？,處分投資利益（損失）,保留盈餘,研發費用,外幣兌換利益（損失）,2
下列何項不影響公司之現金流量？,發行公司債,銀行借貸,初級市場籌資,次級市場交易,4
下列何項不影響普通股每股帳面價值？,發放普通股股票股利，當時普通股市價與面額相等,發放普通股股票股利，當時普通股市價高於面額,普通股1股分割為2股,發放已宣告之現金股利,4
下列何項不屬於財務報表的「要素」（Element）？,資產,費用,權益,來自營業活動的現金流量,4
下列何項之有價證券得為融資融券之標的？,政府債券,上市股票,上市公司債券,上櫃公司債券,2
下列何項支出不會在發生當期就列為公司的費用？,產品銷售人員的佣金,與購買存貨有關的固定管理費用,購買例行性生產原料所需資金的利息,生產某一產品而發生的製造費用，而此產品尚未出售,4
下列何項比率可用來衡量資本結構比率？　A.負債比率；B.權益比率；C.負債對權益比率,僅A、B,僅A、C,僅B、C,A、B、C,4
下列何項比率可用來衡量資本結構比率？　甲、負債比率；乙、權益比率；丙、負債對權益比率,僅甲、乙,僅甲、丙,僅乙、丙,甲、乙、丙,4
下列何項目不屬於衡量短期償債能力之指標？,變現力指數,負債比率,速動比率,流動比率,2
下列何項目彌補虧損，嗣後有盈餘時須再還回原科目？,股票發行溢價,資產重估增值,保留盈餘,處分資產溢價,2
下列何項在現金流量表中我國慣例屬於投資活動？,買回庫藏股票,發行長期債券,借錢給其他企業,發放現金股利,3
下列何項在現金流量表中屬於投資活動？,買回庫藏股票,發行長期債券,借錢給其他企業,收到現金股利,3
下列何項在資產負債表中屬於「現金及約當現金」之一部分？,存於供應商之押金,遠期支票,一年期定期存單,指定用途之現金,3
下列何項有價證券，得為融資融券之標的？,政府債券,上市股票,上市公司債券,上櫃公司債券,2
下列何項有價證券借貸措施自113年12月30日起，係順應綠色金融與永續發展的國際趨勢、配合ESG生態永續發展而為證券市場重要推動政策之一?,開立紙本銀行保證書，由證券商人員親自將保證書紙本送達、交付證交所，完成擔保品繳存。,推動建置「金融區塊鏈平台」，提供銀行保證的新增開立與退還申請以電子資料傳輸方式，採無紙化之數位作業方式。,當紙本銀行保證書屆期有更換、返還需求，由證券商人員親自赴證交所領回紙本。,其他3個選項皆是。,2
下列何項行為依「證券交易法」規定，若自首得免除其刑？,對證券交易所受僱人違背職務之行為行求期約或交付不正利益,對證券交易所董事、監察人職務上行為行求期約或交付不正利益,證券投資信託公司之受僱人對職務上行為要求不正利益,證券投資信託公司監察人對違背職務之行為要求不正利益,1
下列何項作法可增加流動比率(假設目前為1.3)？,以發行長期負債所得金額償還短期負債,應收款項收現,以現金購買存貨,賒購存貨,1
下列何項於Ａ上市公司之重大影響股票價格消息產生後，公司發布前，得買賣Ａ公司之股票？,Ａ公司董事長之秘書甲，參加董事會製作會議紀錄而知曉該消息,Ａ公司經理人之友人乙，與經理人聊天後得知該消息,Ａ公司之會計人員丙，於自行研究甲公司股價之技術線型後,Ａ公司監察人之配偶丁，於閱讀財經報導後得知該消息，並與監察人討論,3
下列何項於Z上市公司之重大影響股票價格消息產生後，公司發布前，得買賣Z公司之股票？,Z公司董事長之秘書甲，參加董事會製作會議紀錄而知曉該消息,Z公司經理人之友人乙，與經理人聊天後得知該消息,Z公司之會計人員丙，於自行研究甲公司股價之技術線型後,Z公司監察人之配偶丁，於閱讀財經報導後得知該消息，並與監察人討論,3
下列何項得不列於股東會通知之召集事由中？,選任董事、監察人,變更章程,公司解散,對董事提起訴訟,4
下列何項情形，發起人須負連帶認繳責任？,第一次發行股份未認足者,認足發行股份但未繳股款者,已認股份但撤回認股者,其他3個選項皆是,4
下列何項期後事件應調整財務報表之內容？,火災導致廠房全毀,短期投資市價之變動,某顧客火災損失慘重，導致對該顧客應收帳款無法收回,結帳日時結果未知之訴訟案確定敗訴,4
下列何項業務並非證券商得經營之業務項目？,證券承銷,證券自營,證券保管,證券經紀,3
下列何項屬「公開發行公司取得或處分資產處理準則」所定義之事實發生日？　甲、簽約日；乙、委託成交日；丙、過戶日；丁、董事會決議日,僅甲、乙、丁,僅甲、乙、丙,僅乙、丙、丁,甲、乙、丙、丁皆是,4
下列何項屬「公開發行公司取得或處分資產處理準則」所定義之事實發生日？　甲、簽約日；乙、委託成交日；丙、過戶日；丁、鑑價日,僅甲、乙,僅甲、乙、丙,僅乙、丙、丁,僅甲、乙、丁,2
下列何種人如取得或出售股票，公司應於每月15日前，彙總內部人持有股數變動之情形向主管機關申報？,公開發行公司之經理人,公開發行公司基層職員,持有公司已發行股份百分之三之人,持有公司股份總額百分之五之人,1
下列何種人如取得或出售股票，公司應於每月十五日前，彙總內部人持有股數變動之情形向主管機關申報？,公開發行公司之經理人,公開發行公司基層職員,持有公司已發行股份百分之三之人,持有公司股份總額百分之五之人,1
下列何種人非「證券交易法」第一百五十七條之一禁止利用未公開重大影響股票價格之消息所列之「內部人」？,該公司之董事,持股超過百分之十之股東,由公司經理人獲悉內部消息的協力廠主管,透過媒體報導知悉公司虧損遂賣出持股一萬股之股東,4
下列何種人員不得進入集中交易市場？,主管機關派任之監理人員,經向臺灣證券交易所登記准予進入市場之證券商業務人員,臺灣證券交易所之場務執行人員暨場務工作人員,證券商業同業公會派駐人員,4
下列何種人員不得進入集中交易市場？,主管機關派任之監理人員,經向證交所登記准予進入市場之證券商業務人員,證交所之場務執行人員暨場務工作人員,證券商業同業公會派駐人員,4
下列何種人對公司之上市股票，於取得後六個月內再行賣出，或於賣出後六個月內再行買進，因而獲得利益者，公司不得請求將其利益歸於公司?,持股百分之五之股東,公司董事,公司監察人,公司經理人,1
下列何種人對公司之上市股票，於取得後六個月內再行賣出，或於賣出後六個月內再行買進，因而獲得利益者，公司得請求將其利益歸於公司?,持股百分之十之股東,公司董事,公司經理人,其他3個選項皆是,4
下列何種上市有價證券之交易可不在證券集中交易市場為之？,政府所發行債券之買賣,基於法律所生之效力，不能經由有價證券集中交易市場之買賣而取得或喪失證券所有權者,私人間直接讓受其數量不超過一個成交單位，前後兩次讓受行為，相隔不少於三個月,其他3個選項皆是,4
下列何種公司採票面金額股發行股票時其發行價格不得低於面額？,上市公司,上櫃公司,興櫃公司,未公開發行公司,4
下列何種公開發行公司得申請為管理股票買賣？,已上市之全額交割股,已申請上市（櫃）輔導者,上市公司於臺灣證券交易所終止上市者,未上市（櫃）之公開發行公司,3
下列何種方式非有價證券之承銷價格決定方式？,由承銷商與發行公司或有價證券持有人議定,由詢價圈購產生,由競價拍賣產生,由臺灣證券交易所核算,4
下列何種仲裁判斷，經當事人雙方以書面約定，於何種其情形下，仲裁判斷無須法院裁定即得為強制執行？,以給付金錢為標的者,以給付特定之動產為標的者,已給付一定數量之有價證券為標的,其他3個選項皆可,4
下列何種存貨成本流程假設，會讓期末存貨最接近其現時成本？,先進先出法,加權平均法,後進先出法,個別認定法,1
下列何種有價證券，不適用「證券交易法」有關上市審查之規定？,公開發行公司股票,認購權證,公司債,政府發行之債券,4
下列何種有價證券非「證券交易法」所規範之短線交易歸入權及內線交易所稱「具有股權性質之其他有價證券」？,可轉換公司債,認購（售）權證,臺灣存託憑證,商業本票,4
下列何種有價證券非「證券交易法」所規範之短線交易歸入權及內線交易所稱「具有股權性質之其他有價證券」？,可轉換公司債,認購（售）權證,臺灣存託憑證,商業本票,4
下列何種有價證券為「證券交易法」所稱「具有股權性質之其他有價證券」？　甲、臺灣存託憑證；乙、認購（售）權證；丙、一般公司債；丁、政府債券,僅甲,甲、乙,僅丙,丙、丁,2
下列何種有價證券為「證券交易法」所稱「具有股權性質之其他有價證券」?　甲、臺灣存託憑證；乙、認購（售）權證；丙、一般公司債；丁、政府債券,僅甲,甲、乙,僅丙,丙、丁,2
下列何種有價證券為「證券交易法」所稱「具有股權性質之其他有價證券」？　甲、臺灣存託憑證；乙、認購（售）權證；丙、一般公司債；丁、政府債券,僅甲,甲、乙,僅丙,丙、丁,2
下列何種有價證券為「證券交易法」所稱「具有股權性質之其他有價證券」?　甲、臺灣存託憑證；乙、認購（售）權證；丙、一般公司債；丁、政府債券,僅甲,甲、乙,僅丙,丙、丁,2
下列何種有價證券為「證券交易法」所稱「具有股權性質之其他有價證券」？　甲、臺灣存託憑證；乙、認購（售）權證；丙、一般公司債；丁、政府債券,僅甲,甲、乙,僅丙,丙、丁,2
下列何種行業，其股票要在櫃檯買賣，需先取得目的事業主管機關之同意函?,營建業,石化業,服務業,證券業,4
下列何種行業申請其股票上市，應先取得目的事業主管機關之同意函後，證交所股份有限公司始予受理？,證券業,金融業,保險業,其他3個選項皆是,4
下列何種行業的存貨評價方式較適合採用個別認定法？,電腦公司,食品公司,汽車經銷商,鋼鐵公司,3
下列何種行業通常有較低的應收帳款週轉率？,航空公司,便利商店,管理顧問公司,百貨公司,3
下列何種投資工具之通貨膨脹風險最「高」？,股票,定存單,黃金,房地產,2
下列何種事業非為集中保管劃撥作業之參加人？,證券交易所,證券商,證券金融事業,投信事業,4
下列何種事業非為集中保管劃撥作業之參加人？,證券交易所,證券商,證券金融事業,散戶投資人,4
下列何種承銷方式較可產生公平合理之發行價格？,競價拍賣,公開申購配售,詢價圈購,洽商銷售,1
下列何種承銷方式較具公平性及股權分散？,競價拍賣,詢價圈購,公開申購配售,洽商銷售,3
下列何種係不誠信行為？,給予同事婚禮金新台幣1000元,提供非法政治獻金,依法令及內部作業程序為慈善捐贈,遵守法規，不洩漏未公開資訊予他人,2
下列何種科目不在資產負債表中？,資產,負債,權益,所得稅費用,4
下列何種重大消息係指「證券交易法」第一百五十七條之一第五項所稱「涉及該證券之市場供求，對其股價有重大影響之消息」？,公司辦理重整,發生集體抗議、罷工等情事，造成公司重大損害,公司股票被進行公開收購者,公司董事受停止行使職權之假處分裁定，致董事會無法行使職權者,3
下列何種財務報表潛在使用者會最重視流動性的分析？,政府主管機關人員,原料供應商,提供長期貸款的信託投資公司,股東,2
下列何種情形，上市(櫃)公司毋須委請承銷商出具評估報告？,辦理現金發行新股,受讓他公司股份發行新股,發行轉(交)換公司債,補辦公開發行,4
